sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
6.8,3.0,5.526177160689072,1.9270605874978148
5.7,2.5,5.0,1.7754028766241594
5.8,2.8,5.1,1.913219785385943
6.4,3.2,5.3,2.3
6.5,3.0,5.123262222473663,1.8
7.7,3.8,6.7,2.631437516233647
7.7,2.6,6.9,2.3
6.0,2.9589233015185332,4.360926364954793,1.5
6.9,3.2,5.7,2.071589088157834
5.6,2.8,4.9,2.0
7.7,2.8,6.7,2.264635651550692
6.298805471943429,3.0185565204536617,4.9,1.8
6.7,2.950351518281642,5.7,2.1
7.2,3.2,5.495251591973061,1.8
6.2,2.8,4.8,1.8
6.1,3.0,4.9,1.7760179203660664
6.466558855880735,2.8,5.6,2.1
7.2,2.8045928743479696,5.8,1.6
7.4,2.9777116422496808,6.1,1.9
7.9,3.8,6.4,2.0
6.3830776547970505,2.8,5.6,2.2
6.3,2.6041139824782196,5.1,1.5
6.1,2.6,5.6,1.4
7.7,3.0,6.1,2.3
6.3,3.4,5.6,2.4
6.4,3.1,5.5,2.0723619265213484
6.0,3.0,4.8,1.8
6.9,3.1,5.4,2.1
6.7,3.1,5.6,2.4
6.9,3.735723969863886,5.1,2.3
5.8,2.7,5.1,1.9
6.8,3.2,5.9,2.3
6.7,3.3,5.7,2.5
6.315634122385136,3.231208338354094,5.2,2.3
6.3,2.5,5.0,1.9
6.5,3.0,5.2,2.0
6.627620918238737,3.4,5.4,2.3
5.9,2.571928158899963,5.1,1.8
